Year,Month,Day,Hour,NSM,WeekStatus,Load_Type,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,CO2(tCO2),Usage_kWh,Day_Of_Week_Monday,Day_Of_Week_Saturday,Day_Of_Week_Sunday,Day_Of_Week_Thursday,Day_Of_Week_Tuesday,Day_Of_Week_Wednesday
2018,1,1,4,17100,1,0,4.54,0.0,63.58,100.0,0.0,3.74,1,0,0,0,0,0
2018,1,1,5,18000,1,0,3.6,0.0,67.68,100.0,0.0,3.31,1,0,0,0,0,0
2018,1,1,5,18900,1,0,4.07,0.0,65.84,100.0,0.0,3.56,1,0,0,0,0,0
2018,1,1,5,19800,1,0,4.1,0.0,65.56,100.0,0.0,3.56,1,0,0,0,0,0
2018,1,1,5,20700,1,0,3.49,0.0,68.48,100.0,0.0,3.28,1,0,0,0,0,0
2018,1,1,6,21600,1,0,4.32,0.0,65.85,100.0,0.0,3.78,1,0,0,0,0,0
2018,1,1,6,22500,1,0,3.64,0.0,67.72,100.0,0.0,3.35,1,0,0,0,0,0
2018,1,1,6,23400,1,0,3.35,0.0,69.52,100.0,0.0,3.24,1,0,0,0,0,0
2018,1,1,6,24300,1,0,4.46,0.0,65.73,100.0,0.0,3.89,1,0,0,0,0,0
2018,1,1,7,25200,1,0,3.53,0.0,68.4,100.0,0.0,3.31,1,0,0,0,0,0
2018,1,1,7,26100,1,0,3.49,0.0,68.48,100.0,0.0,3.28,1,0,0,0,0,0
2018,1,1,7,27000,1,0,4.75,0.0,62.97,100.0,0.0,3.85,1,0,0,0,0,0
2018,1,1,7,27900,1,0,3.6,0.0,66.44,100.0,0.0,3.2,1,0,0,0,0,0
2018,1,1,8,28800,1,0,3.78,0.0,65.88,100.0,0.0,3.31,1,0,0,0,0,0
2018,1,1,8,29700,1,0,4.75,0.0,62.27,100.0,0.0,3.78,1,0,0,0,0,0
2018,1,1,8,30600,1,0,3.74,0.0,65.94,100.0,0.0,3.28,1,0,0,0,0,0
2018,1,1,8,31500,1,0,4.46,0.18,61.63,99.87,0.0,3.49,1,0,0,0,0,0
2018,1,1,9,32400,1,0,0.0,15.66,100.0,24.11,0.0,3.89,1,0,0,0,0,0
2018,1,1,9,33300,1,0,0.0,16.96,100.0,20.76,0.0,3.6,1,0,0,0,0,0
2018,1,1,9,34200,1,0,0.0,21.28,100.0,18.61,0.0,4.03,1,0,0,0,0,0
2018,1,1,9,35100,1,0,0.0,19.22,100.0,19.98,0.0,3.92,1,0,0,0,0,0
2018,1,1,10,36000,1,0,0.0,16.88,100.0,21.08,0.0,3.64,1,0,0,0,0,0
2018,1,1,10,36900,1,0,0.0,22.32,100.0,17.94,0.0,4.07,1,0,0,0,0,0
2018,1,1,10,37800,1,0,0.0,18.0,100.0,20.19,0.0,3.71,1,0,0,0,0,0
2018,1,1,10,38700,1,0,0.0,16.92,100.0,20.81,0.0,3.6,1,0,0,0,0,0
2018,1,1,11,39600,1,0,0.0,23.4,100.0,17.71,0.0,4.21,1,0,0,0,0,0
2018,1,1,11,40500,1,0,0.0,5.65,100.0,52.55,0.0,3.49,1,0,0,0,0,0
2018,1,1,11,41400,1,0,0.0,4.82,100.0,58.31,0.0,3.46,1,0,0,0,0,0
2018,1,1,11,42300,1,0,0.0,6.7,100.0,51.26,0.0,4.0,1,0,0,0,0,0
2018,1,1,12,43200,1,0,0.0,4.57,100.0,60.69,0.0,3.49,1,0,0,0,0,0
2018,1,1,12,44100,1,0,0.0,12.89,100.0,26.9,0.0,3.6,1,0,0,0,0,0
2018,1,1,12,45000,1,0,0.0,23.15,100.0,18.06,0.0,4.25,1,0,0,0,0,0
2018,1,1,12,45900,1,0,0.0,16.67,100.0,21.5,0.0,3.67,1,0,0,0,0,0
2018,1,1,13,46800,1,0,0.0,16.63,100.0,21.55,0.0,3.67,1,0,0,0,0,0
2018,1,1,13,47700,1,0,0.0,23.33,100.0,17.92,0.0,4.25,1,0,0,0,0,0
2018,1,1,13,48600,1,0,0.0,16.74,100.0,21.25,0.0,3.64,1,0,0,0,0,0
2018,1,1,13,49500,1,0,0.0,16.99,100.0,21.11,0.0,3.67,1,0,0,0,0,0
2018,1,1,14,50400,1,0,0.0,23.4,100.0,17.99,0.0,4.28,1,0,0,0,0,0
2018,1,1,14,51300,1,0,0.0,16.67,100.0,21.33,0.0,3.64,1,0,0,0,0,0
2018,1,1,14,52200,1,0,0.0,18.25,100.0,20.28,0.0,3.78,1,0,0,0,0,0
2018,1,1,14,53100,1,0,0.0,22.1,100.0,18.24,0.0,4.1,1,0,0,0,0,0
2018,1,1,15,54000,1,0,0.0,16.7,100.0,21.3,0.0,3.64,1,0,0,0,0,0
2018,1,1,15,54900,1,0,0.0,19.33,100.0,19.87,0.0,3.92,1,0,0,0,0,0
2018,1,1,15,55800,1,0,0.0,21.35,100.0,18.86,0.0,4.1,1,0,0,0,0,0
2018,1,1,15,56700,1,0,0.0,16.81,100.0,20.94,0.0,3.6,1,0,0,0,0,0
2018,1,1,16,57600,1,0,0.0,20.45,100.0,19.01,0.0,3.96,1,0,0,0,0,0
2018,1,1,16,58500,1,0,0.0,20.77,100.0,18.91,0.0,4.0,1,0,0,0,0,0
2018,1,1,16,59400,1,0,0.0,16.81,100.0,20.94,0.0,3.6,1,0,0,0,0,0
2018,1,1,16,60300,1,0,0.0,21.64,100.0,18.48,0.0,4.07,1,0,0,0,0,0
2018,1,1,17,61200,1,0,0.0,19.19,100.0,19.52,0.0,3.82,1,0,0,0,0,0
2018,1,1,17,62100,1,0,0.0,16.96,100.0,20.54,0.0,3.56,1,0,0,0,0,0
2018,1,1,17,63000,1,0,0.0,23.51,100.0,17.18,0.0,4.1,1,0,0,0,0,0
2018,1,1,17,63900,1,0,0.0,17.39,100.0,20.27,0.0,3.6,1,0,0,0,0,0
2018,1,1,18,64800,1,0,0.0,17.35,100.0,20.32,0.0,3.6,1,0,0,0,0,0
2018,1,1,18,65700,1,0,0.0,8.96,100.0,40.77,0.0,4.0,1,0,0,0,0,0
2018,1,1,18,66600,1,0,0.0,5.47,100.0,53.01,0.0,3.42,1,0,0,0,0,0
2018,1,1,18,67500,1,0,0.0,16.24,100.0,22.04,0.0,3.67,1,0,0,0,0,0
2018,1,1,19,68400,1,0,0.0,22.57,100.0,17.75,0.0,4.07,1,0,0,0,0,0
2018,1,1,19,69300,1,0,0.0,17.39,100.0,19.89,0.0,3.53,1,0,0,0,0,0
2018,1,1,19,70200,1,0,0.0,20.74,100.0,18.25,0.0,3.85,1,0,0,0,0,0
2018,1,1,19,71100,1,0,0.0,20.88,100.0,18.63,0.0,3.96,1,0,0,0,0,0
2018,1,1,20,72000,1,0,0.0,17.35,100.0,20.1,0.0,3.56,1,0,0,0,0,0
2018,1,1,20,72900,1,0,0.0,22.54,100.0,17.6,0.0,4.03,1,0,0,0,0,0
2018,1,1,20,73800,1,0,0.0,19.55,100.0,18.79,0.0,3.74,1,0,0,0,0,0
2018,1,1,20,74700,1,0,0.0,17.42,100.0,20.02,0.0,3.56,1,0,0,0,0,0
2018,1,1,21,75600,1,0,0.0,24.26,100.0,17.1,0.0,4.21,1,0,0,0,0,0
2018,1,1,21,76500,1,0,0.0,17.75,100.0,19.66,0.0,3.56,1,0,0,0,0,0
2018,1,1,21,77400,1,0,0.0,17.42,100.0,19.86,0.0,3.53,1,0,0,0,0,0
2018,1,1,21,78300,1,0,0.0,25.2,100.0,16.63,0.0,4.25,1,0,0,0,0,0
2018,1,1,22,79200,1,0,0.0,17.5,100.0,19.77,0.0,3.53,1,0,0,0,0,0
2018,1,1,22,80100,1,0,1.44,10.08,92.7,33.3,0.0,3.56,1,0,0,0,0,0
2018,1,1,22,81000,1,0,4.21,0.0,65.71,100.0,0.0,3.67,1,0,0,0,0,0
2018,1,1,22,81900,1,0,3.35,0.0,69.52,100.0,0.0,3.24,1,0,0,0,0,0
2018,1,1,23,82800,1,0,3.74,0.0,68.64,100.0,0.0,3.53,1,0,0,0,0,0
2018,1,1,23,83700,1,0,3.42,0.0,71.82,100.0,0.0,3.53,1,0,0,0,0,0
2018,1,1,23,84600,1,0,2.95,0.0,73.94,100.0,0.0,3.24,1,0,0,0,0,0
2018,1,1,23,85500,1,0,3.96,0.0,67.97,100.0,0.0,3.67,1,0,0,0,0,0
2018,1,1,0,0,1,0,3.46,0.0,70.3,100.0,0.0,3.42,1,0,0,0,0,0
2018,1,2,0,900,1,0,3.1,0.0,71.82,100.0,0.0,3.2,0,0,0,0,1,0
2018,1,2,0,1800,1,0,4.61,0.0,64.1,100.0,0.0,3.85,0,0,0,0,1,0
2018,1,2,0,2700,1,0,3.67,0.0,66.64,100.0,0.0,3.28,0,0,0,0,1,0
2018,1,2,1,3600,1,0,3.6,0.0,68.12,100.0,0.0,3.35,0,0,0,0,1,0
2018,1,2,1,4500,1,0,4.72,0.0,63.6,100.0,0.0,3.89,0,0,0,0,1,0
2018,1,2,1,5400,1,0,3.53,0.0,68.07,100.0,0.0,3.28,0,0,0,0,1,0
2018,1,2,1,6300,1,0,3.96,0.0,65.8,100.0,0.0,3.46,0,0,0,0,1,0
2018,1,2,2,7200,1,0,4.82,0.0,61.71,100.0,0.0,3.78,0,0,0,0,1,0
2018,1,2,2,8100,1,0,3.53,0.0,68.4,100.0,0.0,3.31,0,0,0,0,1,0
2018,1,2,2,9000,1,0,4.36,0.0,63.67,100.0,0.0,3.6,0,0,0,0,1,0
2018,1,2,2,9900,1,0,4.39,0.0,63.83,100.0,0.0,3.64,0,0,0,0,1,0
2018,1,2,3,10800,1,0,3.71,0.0,66.24,100.0,0.0,3.28,0,0,0,0,1,0
2018,1,2,3,11700,1,0,4.57,0.0,63.03,100.0,0.0,3.71,0,0,0,0,1,0
2018,1,2,3,12600,1,0,4.03,0.0,66.21,100.0,0.0,3.56,0,0,0,0,1,0
2018,1,2,3,13500,1,0,3.49,0.0,68.04,100.0,0.0,3.24,0,0,0,0,1,0
2018,1,2,4,14400,1,0,4.64,0.0,64.25,100.0,0.0,3.89,0,0,0,0,1,0
2018,1,2,4,15300,1,0,3.42,0.0,69.22,100.0,0.0,3.28,0,0,0,0,1,0
2018,1,2,4,16200,1,0,3.49,0.0,68.48,100.0,0.0,3.28,0,0,0,0,1,0
2018,1,2,4,17100,1,0,4.68,0.0,64.59,100.0,0.0,3.96,0,0,0,0,1,0
2018,1,2,5,18000,1,0,3.42,0.0,68.77,100.0,0.0,3.24,0,0,0,0,1,0
2018,1,2,5,18900,1,0,3.78,0.0,67.52,100.0,0.0,3.46,0,0,0,0,1,0
2018,1,2,5,19800,1,0,4.07,0.0,66.97,100.0,0.0,3.67,0,0,0,0,1,0
2018,1,2,5,20700,1,0,3.42,0.0,68.77,100.0,0.0,3.24,0,0,0,0,1,0
2018,1,2,6,21600,1,0,3.96,0.0,67.97,100.0,0.0,3.67,0,0,0,0,1,0
2018,1,2,6,22500,1,0,3.78,0.0,68.25,100.0,0.0,3.53,0,0,0,0,1,0
2018,1,2,6,23400,1,0,3.24,0.0,70.27,100.0,0.0,3.2,0,0,0,0,1,0
2018,1,2,6,24300,1,0,4.07,0.0,68.05,100.0,0.0,3.78,0,0,0,0,1,0
2018,1,2,7,25200,1,0,3.35,0.0,70.71,100.0,0.0,3.35,0,0,0,0,1,0
2018,1,2,7,26100,1,0,3.49,0.0,71.11,100.0,0.0,3.53,0,0,0,0,1,0
2018,1,2,7,27000,1,0,4.57,0.0,80.95,100.0,0.0,6.3,0,0,0,0,1,0
2018,1,2,7,27900,1,0,4.79,0.0,78.4,100.0,0.0,6.05,0,0,0,0,1,0
2018,1,2,8,28800,1,0,4.54,0.0,82.9,100.0,0.0,6.73,0,0,0,0,1,0
2018,1,2,8,29700,1,0,18.83,0.07,83.89,100.0,0.0,29.02,0,0,0,0,1,0
2018,1,2,8,30600,1,0,28.66,0.0,84.97,100.0,0.0,46.19,0,0,0,0,1,0
2018,1,2,8,31500,1,0,35.32,0.0,82.75,100.0,0.0,52.06,0,0,0,0,1,0
2018,1,2,9,32400,1,0,12.53,0.11,97.6,100.0,0.0,56.2,0,0,0,0,1,0
2018,1,2,9,33300,1,1,8.32,0.0,98.95,100.0,0.0,56.84,0,0,0,0,1,0
2018,1,2,9,34200,1,1,4.54,0.94,99.61,99.98,0.0,51.26,0,0,0,0,1,0
2018,1,2,9,35100,1,1,2.34,1.15,99.88,99.97,0.0,48.13,0,0,0,0,1,0
2018,1,2,10,36000,1,1,7.06,0.54,99.12,99.99,0.0,52.81,0,0,0,0,1,0
2018,1,2,10,36900,1,2,7.52,0.14,99.07,100.0,0.0,54.79,0,0,0,0,1,0
2018,1,2,10,37800,1,2,8.35,0.11,98.79,100.0,0.0,53.21,0,0,0,0,1,0
2018,1,2,10,38700,1,2,32.4,0.0,92.72,100.0,0.0,80.21,0,0,0,0,1,0
2018,1,2,11,39600,1,2,25.49,0.0,95.0,100.0,0.0,77.58,0,0,0,0,1,0
2018,1,2,11,40500,1,2,70.85,0.0,87.57,100.0,0.0,128.52,0,0,0,0,1,0
2018,1,2,11,41400,1,2,78.48,0.0,87.87,100.0,0.0,144.47,0,0,0,0,1,0
2018,1,2,11,42300,1,2,54.29,0.0,85.84,100.0,0.0,90.86,0,0,0,0,1,0
2018,1,2,12,43200,1,2,66.06,0.0,88.15,100.0,0.0,123.3,0,0,0,0,1,0
2018,1,2,12,44100,1,1,5.54,18.9,96.09,71.3,0.0,19.22,0,0,0,0,1,0
2018,1,2,12,45000,1,1,0.0,25.92,100.0,31.03,0.0,8.46,0,0,0,0,1,0
2018,1,2,12,45900,1,1,0.0,25.34,100.0,30.92,0.0,8.24,0,0,0,0,1,0
2018,1,2,13,46800,1,1,0.0,25.49,100.0,30.05,0.0,8.03,0,0,0,0,1,0
2018,1,2,13,47700,1,1,27.29,6.52,94.6,99.67,0.0,79.67,0,0,0,0,1,0
2018,1,2,13,48600,1,1,46.8,0.0,90.21,100.0,0.0,97.85,0,0,0,0,1,0
2018,1,2,13,49500,1,1,49.79,0.0,92.85,100.0,0.0,124.45,0,0,0,0,1,0
2018,1,2,14,50400,1,1,43.34,0.0,92.88,100.0,0.0,108.61,0,0,0,0,1,0
2018,1,2,14,51300,1,1,55.26,0.0,91.23,100.0,0.0,123.12,0,0,0,0,1,0
2018,1,2,14,52200,1,1,53.5,0.0,92.38,100.0,0.0,129.1,0,0,0,0,1,0
2018,1,2,14,53100,1,1,27.58,0.0,94.79,100.0,0.0,82.08,0,0,0,0,1,0
2018,1,2,15,54000,1,1,60.91,0.0,92.09,100.0,0.0,143.89,0,0,0,0,1,0
2018,1,2,15,54900,1,1,34.27,0.0,93.03,100.0,0.0,86.9,0,0,0,0,1,0
2018,1,2,15,55800,1,1,62.57,0.0,91.45,100.0,0.0,141.44,0,0,0,0,1,0
2018,1,2,15,56700,1,1,52.88,0.0,91.06,100.0,0.0,116.53,0,0,0,0,1,0
2018,1,2,16,57600,1,1,61.16,0.0,90.4,100.0,0.0,129.31,0,0,0,0,1,0
2018,1,2,16,58500,1,1,56.77,0.0,92.33,100.0,0.0,136.44,0,0,0,0,1,0
2018,1,2,16,59400,1,1,34.85,0.0,92.64,100.0,0.0,85.72,0,0,0,0,1,0
2018,1,2,16,60300,1,1,65.27,0.0,91.44,100.0,0.0,147.46,0,0,0,0,1,0
2018,1,2,17,61200,1,1,30.78,0.0,94.27,100.0,0.0,86.94,0,0,0,0,1,0
2018,1,2,17,62100,1,2,25.81,0.0,93.36,100.0,0.0,67.25,0,0,0,0,1,0
2018,1,2,17,63000,1,2,50.04,0.0,91.79,100.0,0.0,115.78,0,0,0,0,1,0
2018,1,2,17,63900,1,2,34.63,0.0,95.62,100.0,0.0,113.11,0,0,0,0,1,0
2018,1,2,18,64800,1,2,11.74,1.04,98.85,99.99,0.0,76.75,0,0,0,0,1,0
2018,1,2,18,65700,1,2,15.23,0.14,93.98,100.0,0.0,41.9,0,0,0,0,1,0
2018,1,2,18,66600,1,2,19.94,0.0,88.24,100.0,0.0,37.4,0,0,0,0,1,0
2018,1,2,18,67500,1,2,8.82,0.5,97.68,99.99,0.0,40.25,0,0,0,0,1,0
2018,1,2,19,68400,1,2,1.98,1.58,99.84,99.9,0.0,34.92,0,0,0,0,1,0
2018,1,2,19,69300,1,2,6.44,0.43,98.81,99.99,0.0,41.36,0,0,0,0,1,0
2018,1,2,19,70200,1,2,2.52,1.37,99.76,99.93,0.0,35.96,0,0,0,0,1,0
2018,1,2,19,71100,1,2,5.29,0.47,99.11,99.99,0.0,39.42,0,0,0,0,1,0
2018,1,2,20,72000,1,2,4.68,0.5,99.26,99.99,0.0,38.16,0,0,0,0,1,0
2018,1,2,20,72900,1,1,1.51,3.96,99.9,99.3,0.0,33.23,0,0,0,0,1,0
2018,1,2,20,73800,1,1,0.0,12.13,100.0,90.55,0.0,25.88,0,0,0,0,1,0
2018,1,2,20,74700,1,1,0.0,23.22,100.0,42.3,0.0,10.84,0,0,0,0,1,0
2018,1,2,21,75600,1,1,0.0,23.51,100.0,36.75,0.0,9.29,0,0,0,0,1,0
2018,1,2,21,76500,1,1,0.0,25.16,100.0,26.73,0.0,6.98,0,0,0,0,1,0
2018,1,2,21,77400,1,1,0.0,26.5,100.0,18.93,0.0,5.11,0,0,0,0,1,0
2018,1,2,21,78300,1,1,0.0,26.42,100.0,18.88,0.0,5.08,0,0,0,0,1,0
2018,1,2,22,79200,1,1,0.0,26.46,100.0,18.71,0.0,5.04,0,0,0,0,1,0
2018,1,2,22,80100,1,2,1.84,15.44,93.69,30.42,0.0,4.93,0,0,0,0,1,0
2018,1,2,22,81000,1,2,5.22,0.0,66.44,100.0,0.0,4.64,0,0,0,0,1,0
2018,1,2,22,81900,1,2,5.18,0.0,67.04,100.0,0.0,4.68,0,0,0,0,1,0
2018,1,2,23,82800,1,2,5.11,0.0,67.54,100.0,0.0,4.68,0,0,0,0,1,0
2018,1,2,23,83700,1,0,4.54,0.0,70.94,100.0,0.0,4.57,0,0,0,0,1,0
2018,1,2,23,84600,1,0,4.25,0.0,73.23,100.0,0.0,4.57,0,0,0,0,1,0
2018,1,2,23,85500,1,0,4.25,0.0,73.0,100.0,0.0,4.54,0,0,0,0,1,0
2018,1,2,0,0,1,0,4.21,0.0,73.84,100.0,0.0,4.61,0,0,0,0,1,0
2018,1,3,0,900,1,0,4.61,0.0,70.71,100.0,0.0,4.61,0,0,0,0,0,1
2018,1,3,0,1800,1,0,4.54,0.0,71.25,100.0,0.0,4.61,0,0,0,0,0,1
2018,1,3,0,2700,1,0,4.5,0.0,71.25,100.0,0.0,4.57,0,0,0,0,0,1
2018,1,3,1,3600,1,0,4.61,0.0,70.4,100.0,0.0,4.57,0,0,0,0,0,1
2018,1,3,1,4500,1,0,4.46,0.0,72.1,100.0,0.0,4.64,0,0,0,0,0,1
2018,1,3,1,5400,1,0,4.57,0.0,71.25,100.0,0.0,4.64,0,0,0,0,0,1
2018,1,3,1,6300,1,0,4.79,0.0,69.34,100.0,0.0,4.61,0,0,0,0,0,1
2018,1,3,2,7200,1,0,4.5,0.0,71.25,100.0,0.0,4.57,0,0,0,0,0,1
2018,1,3,2,8100,1,0,4.39,0.0,72.42,100.0,0.0,4.61,0,0,0,0,0,1
2018,1,3,2,9000,1,0,4.75,0.0,69.88,100.0,0.0,4.64,0,0,0,0,0,1
2018,1,3,2,9900,1,0,4.75,0.0,69.88,100.0,0.0,4.64,0,0,0,0,0,1
2018,1,3,3,10800,1,0,4.75,0.0,69.33,100.0,0.0,4.57,0,0,0,0,0,1
2018,1,3,3,11700,1,0,5.11,0.0,67.22,100.0,0.0,4.64,0,0,0,0,0,1
2018,1,3,3,12600,1,0,4.72,0.0,70.1,100.0,0.0,4.64,0,0,0,0,0,1
2018,1,3,3,13500,1,0,4.68,0.0,70.71,100.0,0.0,4.68,0,0,0,0,0,1
2018,1,3,4,14400,1,0,4.46,0.0,71.57,100.0,0.0,4.57,0,0,0,0,0,1
2018,1,3,4,15300,1,0,4.32,0.0,72.44,100.0,0.0,4.54,0,0,0,0,0,1
2018,1,3,4,16200,1,0,4.46,0.0,71.87,100.0,0.0,4.61,0,0,0,0,0,1
2018,1,3,4,17100,1,0,4.32,0.0,72.67,100.0,0.0,4.57,0,0,0,0,0,1
2018,1,3,5,18000,1,0,4.32,0.0,72.97,100.0,0.0,4.61,0,0,0,0,0,1
2018,1,3,5,18900,1,0,4.14,0.0,73.89,100.0,0.0,4.54,0,0,0,0,0,1
2018,1,3,5,19800,1,0,4.21,0.0,73.55,100.0,0.0,4.57,0,0,0,0,0,1
2018,1,3,5,20700,1,0,4.43,0.0,71.8,100.0,0.0,4.57,0,0,0,0,0,1
2018,1,3,6,21600,1,0,4.5,0.0,71.25,100.0,0.0,4.57,0,0,0,0,0,1
2018,1,3,6,22500,1,0,4.61,0.0,70.94,100.0,0.0,4.64,0,0,0,0,0,1
2018,1,3,6,23400,1,0,4.36,0.0,72.35,100.0,0.0,4.57,0,0,0,0,0,1
2018,1,3,6,24300,1,0,4.54,0.0,71.25,100.0,0.0,4.61,0,0,0,0,0,1
2018,1,3,7,25200,1,0,4.28,0.0,72.76,100.0,0.0,4.54,0,0,0,0,0,1
2018,1,3,7,26100,1,0,4.18,0.0,72.96,100.0,0.0,4.46,0,0,0,0,0,1
2018,1,3,7,27000,1,0,4.25,0.0,82.14,100.0,0.0,6.12,0,0,0,0,0,1
2018,1,3,7,27900,1,0,4.68,0.0,86.09,100.0,0.0,7.92,0,0,0,0,0,1
2018,1,3,8,28800,1,0,4.36,0.0,91.02,100.0,0.0,9.58,0,0,0,0,0,1
2018,1,3,8,29700,1,0,21.56,0.0,86.41,100.0,0.02,37.01,0,0,0,0,0,1
2018,1,3,8,30600,1,0,35.86,0.0,90.13,100.0,0.03,74.59,0,0,0,0,0,1
2018,1,3,8,31500,1,0,53.32,0.0,89.9,100.0,0.05,109.48,0,0,0,0,0,1
2018,1,3,9,32400,1,0,31.82,0.0,95.71,100.0,0.05,105.08,0,0,0,0,0,1
2018,1,3,9,33300,1,1,41.26,0.0,94.71,100.0,0.06,121.79,0,0,0,0,0,1
2018,1,3,9,34200,1,1,30.24,0.0,96.68,100.0,0.05,114.48,0,0,0,0,0,1
2018,1,3,9,35100,1,1,21.96,0.0,95.89,100.0,0.03,74.2,0,0,0,0,0,1
2018,1,3,10,36000,1,1,7.13,0.04,99.15,100.0,0.02,54.32,0,0,0,0,0,1
2018,1,3,10,36900,1,2,25.06,0.0,94.87,100.0,0.03,75.17,0,0,0,0,0,1
2018,1,3,10,37800,1,2,12.24,0.0,97.85,100.0,0.03,58.07,0,0,0,0,0,1
2018,1,3,10,38700,1,2,15.08,0.0,97.56,100.0,0.03,67.03,0,0,0,0,0,1
2018,1,3,11,39600,1,2,31.64,0.04,92.06,100.0,0.03,74.59,0,0,0,0,0,1
2018,1,3,11,40500,1,2,23.9,0.0,92.36,100.0,0.03,57.56,0,0,0,0,0,1
2018,1,3,11,41400,1,2,48.06,0.0,85.32,100.0,0.04,78.62,0,0,0,0,0,1
2018,1,3,11,42300,1,2,44.17,0.0,84.28,100.0,0.03,69.16,0,0,0,0,0,1
2018,1,3,12,43200,1,2,44.78,0.0,85.57,100.0,0.03,74.05,0,0,0,0,0,1
2018,1,3,12,44100,1,1,0.5,20.45,99.9,48.27,0.01,11.27,0,0,0,0,0,1
2018,1,3,12,45000,1,1,0.0,26.21,100.0,29.89,0.0,8.21,0,0,0,0,0,1
2018,1,3,12,45900,1,1,0.0,25.56,100.0,30.34,0.0,8.14,0,0,0,0,0,1
2018,1,3,13,46800,1,1,0.0,25.74,100.0,28.66,0.0,7.7,0,0,0,0,0,1
2018,1,3,13,47700,1,1,21.38,6.08,92.29,99.3,0.02,51.26,0,0,0,0,0,1
2018,1,3,13,48600,1,1,13.64,0.0,96.81,100.0,0.02,52.7,0,0,0,0,0,1
2018,1,3,13,49500,1,1,17.24,0.0,95.55,100.0,0.03,55.84,0,0,0,0,0,1
2018,1,3,14,50400,1,1,17.32,0.0,95.71,100.0,0.03,57.2,0,0,0,0,0,1
2018,1,3,14,51300,1,1,30.6,0.0,92.86,100.0,0.04,76.57,0,0,0,0,0,1
2018,1,3,14,52200,1,1,20.45,0.0,94.83,100.0,0.03,61.13,0,0,0,0,0,1
2018,1,3,14,53100,1,1,26.42,0.0,92.98,100.0,0.03,66.74,0,0,0,0,0,1
2018,1,3,15,54000,1,1,16.42,0.0,95.93,100.0,0.03,55.8,0,0,0,0,0,1
2018,1,3,15,54900,1,1,18.25,0.0,95.31,100.0,0.03,57.46,0,0,0,0,0,1
2018,1,3,15,55800,1,1,28.08,0.0,93.04,100.0,0.03,71.28,0,0,0,0,0,1
2018,1,3,15,56700,1,1,28.62,0.0,93.13,100.0,0.03,73.15,0,0,0,0,0,1
2018,1,3,16,57600,1,1,25.81,0.0,93.66,100.0,0.03,68.98,0,0,0,0,0,1
2018,1,3,16,58500,1,1,27.79,0.0,95.05,100.0,0.04,85.0,0,0,0,0,0,1
2018,1,3,16,59400,1,1,41.9,0.0,94.1,100.0,0.05,116.53,0,0,0,0,0,1
2018,1,3,16,60300,1,1,39.06,0.0,94.98,100.0,0.05,118.62,0,0,0,0,0,1
2018,1,3,17,61200,1,1,35.64,0.0,94.7,100.0,0.05,105.05,0,0,0,0,0,1
2018,1,3,17,62100,1,2,52.96,0.0,93.57,100.0,0.06,140.51,0,0,0,0,0,1
