Date,Year,Month,WeekStatus,Day_Of_Week,NSM,Load_Type,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,CO2(tCO2),Usage_kWh,Hour
2018-01-01,2018,1,1,Monday,30600,0,3.74,0.0,65.94,100.0,0.0,3.28,8
2018-01-01,2018,1,1,Monday,31500,0,4.46,0.18,61.63,99.87,0.0,3.49,8
2018-01-01,2018,1,1,Monday,32400,0,0.0,15.66,100.0,24.11,0.0,3.89,9
2018-01-01,2018,1,1,Monday,33300,0,0.0,16.96,100.0,20.76,0.0,3.6,9
2018-01-01,2018,1,1,Monday,34200,0,0.0,21.28,100.0,18.61,0.0,4.03,9
2018-01-01,2018,1,1,Monday,35100,0,0.0,19.22,100.0,19.98,0.0,3.92,9
2018-01-01,2018,1,1,Monday,36000,0,0.0,16.88,100.0,21.08,0.0,3.64,10
2018-01-01,2018,1,1,Monday,36900,0,0.0,22.32,100.0,17.94,0.0,4.07,10
2018-01-01,2018,1,1,Monday,37800,0,0.0,18.0,100.0,20.19,0.0,3.71,10
2018-01-01,2018,1,1,Monday,38700,0,0.0,16.92,100.0,20.81,0.0,3.6,10
2018-01-01,2018,1,1,Monday,39600,0,0.0,23.4,100.0,17.71,0.0,4.21,11
2018-01-01,2018,1,1,Monday,40500,0,0.0,5.65,100.0,52.55,0.0,3.49,11
2018-01-01,2018,1,1,Monday,41400,0,0.0,4.82,100.0,58.31,0.0,3.46,11
2018-01-01,2018,1,1,Monday,42300,0,0.0,6.7,100.0,51.26,0.0,4.0,11
2018-01-01,2018,1,1,Monday,43200,0,0.0,4.57,100.0,60.69,0.0,3.49,12
2018-01-01,2018,1,1,Monday,44100,0,0.0,12.89,100.0,26.9,0.0,3.6,12
2018-01-01,2018,1,1,Monday,45000,0,0.0,23.15,100.0,18.06,0.0,4.25,12
2018-01-01,2018,1,1,Monday,45900,0,0.0,16.67,100.0,21.5,0.0,3.67,12
2018-01-01,2018,1,1,Monday,46800,0,0.0,16.63,100.0,21.55,0.0,3.67,13
2018-01-01,2018,1,1,Monday,47700,0,0.0,23.33,100.0,17.92,0.0,4.25,13
2018-01-01,2018,1,1,Monday,48600,0,0.0,16.74,100.0,21.25,0.0,3.64,13
2018-01-01,2018,1,1,Monday,49500,0,0.0,16.99,100.0,21.11,0.0,3.67,13
2018-01-01,2018,1,1,Monday,50400,0,0.0,23.4,100.0,17.99,0.0,4.28,14
2018-01-01,2018,1,1,Monday,51300,0,0.0,16.67,100.0,21.33,0.0,3.64,14
2018-01-01,2018,1,1,Monday,52200,0,0.0,18.25,100.0,20.28,0.0,3.78,14
2018-01-01,2018,1,1,Monday,53100,0,0.0,22.1,100.0,18.24,0.0,4.1,14
2018-01-01,2018,1,1,Monday,54000,0,0.0,16.7,100.0,21.3,0.0,3.64,15
2018-01-01,2018,1,1,Monday,54900,0,0.0,19.33,100.0,19.87,0.0,3.92,15
2018-01-01,2018,1,1,Monday,55800,0,0.0,21.35,100.0,18.86,0.0,4.1,15
2018-01-01,2018,1,1,Monday,56700,0,0.0,16.81,100.0,20.94,0.0,3.6,15
2018-01-01,2018,1,1,Monday,57600,0,0.0,20.45,100.0,19.01,0.0,3.96,16
2018-01-01,2018,1,1,Monday,58500,0,0.0,20.77,100.0,18.91,0.0,4.0,16
2018-01-01,2018,1,1,Monday,59400,0,0.0,16.81,100.0,20.94,0.0,3.6,16
2018-01-01,2018,1,1,Monday,60300,0,0.0,21.64,100.0,18.48,0.0,4.07,16
2018-01-01,2018,1,1,Monday,61200,0,0.0,19.19,100.0,19.52,0.0,3.82,17
2018-01-01,2018,1,1,Monday,62100,0,0.0,16.96,100.0,20.54,0.0,3.56,17
2018-01-01,2018,1,1,Monday,63000,0,0.0,23.51,100.0,17.18,0.0,4.1,17
2018-01-01,2018,1,1,Monday,63900,0,0.0,17.39,100.0,20.27,0.0,3.6,17
2018-01-01,2018,1,1,Monday,64800,0,0.0,17.35,100.0,20.32,0.0,3.6,18
2018-01-01,2018,1,1,Monday,65700,0,0.0,8.96,100.0,40.77,0.0,4.0,18
2018-01-01,2018,1,1,Monday,66600,0,0.0,5.47,100.0,53.01,0.0,3.42,18
2018-01-01,2018,1,1,Monday,67500,0,0.0,16.24,100.0,22.04,0.0,3.67,18
2018-01-01,2018,1,1,Monday,68400,0,0.0,22.57,100.0,17.75,0.0,4.07,19
2018-01-01,2018,1,1,Monday,69300,0,0.0,17.39,100.0,19.89,0.0,3.53,19
2018-01-01,2018,1,1,Monday,70200,0,0.0,20.74,100.0,18.25,0.0,3.85,19
2018-01-01,2018,1,1,Monday,71100,0,0.0,20.88,100.0,18.63,0.0,3.96,19
2018-01-01,2018,1,1,Monday,72000,0,0.0,17.35,100.0,20.1,0.0,3.56,20
2018-01-01,2018,1,1,Monday,72900,0,0.0,22.54,100.0,17.6,0.0,4.03,20
2018-01-01,2018,1,1,Monday,73800,0,0.0,19.55,100.0,18.79,0.0,3.74,20
2018-01-01,2018,1,1,Monday,74700,0,0.0,17.42,100.0,20.02,0.0,3.56,20
2018-01-01,2018,1,1,Monday,75600,0,0.0,24.26,100.0,17.1,0.0,4.21,21
2018-01-01,2018,1,1,Monday,76500,0,0.0,17.75,100.0,19.66,0.0,3.56,21
2018-01-01,2018,1,1,Monday,77400,0,0.0,17.42,100.0,19.86,0.0,3.53,21
2018-01-01,2018,1,1,Monday,78300,0,0.0,25.2,100.0,16.63,0.0,4.25,21
2018-01-01,2018,1,1,Monday,79200,0,0.0,17.5,100.0,19.77,0.0,3.53,22
2018-01-01,2018,1,1,Monday,80100,0,1.44,10.08,92.7,33.3,0.0,3.56,22
2018-01-01,2018,1,1,Monday,81000,0,4.21,0.0,65.71,100.0,0.0,3.67,22
2018-01-01,2018,1,1,Monday,81900,0,3.35,0.0,69.52,100.0,0.0,3.24,22
2018-01-01,2018,1,1,Monday,82800,0,3.74,0.0,68.64,100.0,0.0,3.53,23
2018-01-01,2018,1,1,Monday,83700,0,3.42,0.0,71.82,100.0,0.0,3.53,23
2018-01-01,2018,1,1,Monday,84600,0,2.95,0.0,73.94,100.0,0.0,3.24,23
2018-01-01,2018,1,1,Monday,85500,0,3.96,0.0,67.97,100.0,0.0,3.67,23
2018-01-01,2018,1,1,Monday,0,0,3.46,0.0,70.3,100.0,0.0,3.42,0
2018-01-02,2018,1,1,Tuesday,900,0,3.1,0.0,71.82,100.0,0.0,3.2,0
2018-01-02,2018,1,1,Tuesday,1800,0,4.61,0.0,64.1,100.0,0.0,3.85,0
2018-01-02,2018,1,1,Tuesday,2700,0,3.67,0.0,66.64,100.0,0.0,3.28,0
2018-01-02,2018,1,1,Tuesday,3600,0,3.6,0.0,68.12,100.0,0.0,3.35,1
2018-01-02,2018,1,1,Tuesday,4500,0,4.72,0.0,63.6,100.0,0.0,3.89,1
2018-01-02,2018,1,1,Tuesday,5400,0,3.53,0.0,68.07,100.0,0.0,3.28,1
2018-01-02,2018,1,1,Tuesday,6300,0,3.96,0.0,65.8,100.0,0.0,3.46,1
2018-01-02,2018,1,1,Tuesday,7200,0,4.82,0.0,61.71,100.0,0.0,3.78,2
2018-01-02,2018,1,1,Tuesday,8100,0,3.53,0.0,68.4,100.0,0.0,3.31,2
2018-01-02,2018,1,1,Tuesday,9000,0,4.36,0.0,63.67,100.0,0.0,3.6,2
2018-01-02,2018,1,1,Tuesday,9900,0,4.39,0.0,63.83,100.0,0.0,3.64,2
2018-01-02,2018,1,1,Tuesday,10800,0,3.71,0.0,66.24,100.0,0.0,3.28,3
2018-01-02,2018,1,1,Tuesday,11700,0,4.57,0.0,63.03,100.0,0.0,3.71,3
2018-01-02,2018,1,1,Tuesday,12600,0,4.03,0.0,66.21,100.0,0.0,3.56,3
2018-01-02,2018,1,1,Tuesday,13500,0,3.49,0.0,68.04,100.0,0.0,3.24,3
2018-01-02,2018,1,1,Tuesday,14400,0,4.64,0.0,64.25,100.0,0.0,3.89,4
2018-01-02,2018,1,1,Tuesday,15300,0,3.42,0.0,69.22,100.0,0.0,3.28,4
2018-01-02,2018,1,1,Tuesday,16200,0,3.49,0.0,68.48,100.0,0.0,3.28,4
2018-01-02,2018,1,1,Tuesday,17100,0,4.68,0.0,64.59,100.0,0.0,3.96,4
2018-01-02,2018,1,1,Tuesday,18000,0,3.42,0.0,68.77,100.0,0.0,3.24,5
2018-01-02,2018,1,1,Tuesday,18900,0,3.78,0.0,67.52,100.0,0.0,3.46,5
2018-01-02,2018,1,1,Tuesday,19800,0,4.07,0.0,66.97,100.0,0.0,3.67,5
2018-01-02,2018,1,1,Tuesday,20700,0,3.42,0.0,68.77,100.0,0.0,3.24,5
2018-01-02,2018,1,1,Tuesday,21600,0,3.96,0.0,67.97,100.0,0.0,3.67,6
2018-01-02,2018,1,1,Tuesday,22500,0,3.78,0.0,68.25,100.0,0.0,3.53,6
2018-01-02,2018,1,1,Tuesday,23400,0,3.24,0.0,70.27,100.0,0.0,3.2,6
2018-01-02,2018,1,1,Tuesday,24300,0,4.07,0.0,68.05,100.0,0.0,3.78,6
2018-01-02,2018,1,1,Tuesday,25200,0,3.35,0.0,70.71,100.0,0.0,3.35,7
2018-01-02,2018,1,1,Tuesday,26100,0,3.49,0.0,71.11,100.0,0.0,3.53,7
2018-01-02,2018,1,1,Tuesday,27000,0,4.57,0.0,80.95,100.0,0.0,6.3,7
2018-01-02,2018,1,1,Tuesday,27900,0,4.79,0.0,78.4,100.0,0.0,6.05,7
2018-01-02,2018,1,1,Tuesday,28800,0,4.54,0.0,82.9,100.0,0.0,6.73,8
2018-01-02,2018,1,1,Tuesday,29700,0,18.83,0.07,83.89,100.0,0.0,29.02,8
2018-01-02,2018,1,1,Tuesday,30600,0,28.66,0.0,84.97,100.0,0.0,46.19,8
2018-01-02,2018,1,1,Tuesday,31500,0,35.32,0.0,82.75,100.0,0.0,52.06,8
2018-01-02,2018,1,1,Tuesday,32400,0,12.53,0.11,97.6,100.0,0.0,56.2,9
2018-01-02,2018,1,1,Tuesday,33300,1,8.32,0.0,98.95,100.0,0.0,56.84,9
2018-01-02,2018,1,1,Tuesday,34200,1,4.54,0.94,99.61,99.98,0.0,51.26,9
2018-01-02,2018,1,1,Tuesday,35100,1,2.34,1.15,99.88,99.97,0.0,48.13,9
2018-01-02,2018,1,1,Tuesday,36000,1,7.06,0.54,99.12,99.99,0.0,52.81,10
2018-01-02,2018,1,1,Tuesday,36900,2,7.52,0.14,99.07,100.0,0.0,54.79,10
2018-01-02,2018,1,1,Tuesday,37800,2,8.35,0.11,98.79,100.0,0.0,53.21,10
2018-01-02,2018,1,1,Tuesday,38700,2,32.4,0.0,92.72,100.0,0.0,80.21,10
2018-01-02,2018,1,1,Tuesday,39600,2,25.49,0.0,95.0,100.0,0.0,77.58,11
2018-01-02,2018,1,1,Tuesday,40500,2,70.85,0.0,87.57,100.0,0.0,128.52,11
2018-01-02,2018,1,1,Tuesday,41400,2,78.48,0.0,87.87,100.0,0.0,144.47,11
2018-01-02,2018,1,1,Tuesday,42300,2,54.29,0.0,85.84,100.0,0.0,90.86,11
2018-01-02,2018,1,1,Tuesday,43200,2,66.06,0.0,88.15,100.0,0.0,123.3,12
2018-01-02,2018,1,1,Tuesday,44100,1,5.54,18.9,96.09,71.3,0.0,19.22,12
2018-01-02,2018,1,1,Tuesday,45000,1,0.0,25.92,100.0,31.03,0.0,8.46,12
2018-01-02,2018,1,1,Tuesday,45900,1,0.0,25.34,100.0,30.92,0.0,8.24,12
2018-01-02,2018,1,1,Tuesday,46800,1,0.0,25.49,100.0,30.05,0.0,8.03,13
2018-01-02,2018,1,1,Tuesday,47700,1,27.29,6.52,94.6,99.67,0.0,79.67,13
2018-01-02,2018,1,1,Tuesday,48600,1,46.8,0.0,90.21,100.0,0.0,97.85,13
2018-01-02,2018,1,1,Tuesday,49500,1,49.79,0.0,92.85,100.0,0.0,124.45,13
2018-01-02,2018,1,1,Tuesday,50400,1,43.34,0.0,92.88,100.0,0.0,108.61,14
2018-01-02,2018,1,1,Tuesday,51300,1,55.26,0.0,91.23,100.0,0.0,123.12,14
2018-01-02,2018,1,1,Tuesday,52200,1,53.5,0.0,92.38,100.0,0.0,129.1,14
2018-01-02,2018,1,1,Tuesday,53100,1,27.58,0.0,94.79,100.0,0.0,82.08,14
2018-01-02,2018,1,1,Tuesday,54000,1,60.91,0.0,92.09,100.0,0.0,143.89,15
2018-01-02,2018,1,1,Tuesday,54900,1,34.27,0.0,93.03,100.0,0.0,86.9,15
2018-01-02,2018,1,1,Tuesday,55800,1,62.57,0.0,91.45,100.0,0.0,141.44,15
2018-01-02,2018,1,1,Tuesday,56700,1,52.88,0.0,91.06,100.0,0.0,116.53,15
2018-01-02,2018,1,1,Tuesday,57600,1,61.16,0.0,90.4,100.0,0.0,129.31,16
2018-01-02,2018,1,1,Tuesday,58500,1,56.77,0.0,92.33,100.0,0.0,136.44,16
2018-01-02,2018,1,1,Tuesday,59400,1,34.85,0.0,92.64,100.0,0.0,85.72,16
2018-01-02,2018,1,1,Tuesday,60300,1,65.27,0.0,91.44,100.0,0.0,147.46,16
2018-01-02,2018,1,1,Tuesday,61200,1,30.78,0.0,94.27,100.0,0.0,86.94,17
2018-01-02,2018,1,1,Tuesday,62100,2,25.81,0.0,93.36,100.0,0.0,67.25,17
2018-01-02,2018,1,1,Tuesday,63000,2,50.04,0.0,91.79,100.0,0.0,115.78,17
2018-01-02,2018,1,1,Tuesday,63900,2,34.63,0.0,95.62,100.0,0.0,113.11,17
2018-01-02,2018,1,1,Tuesday,64800,2,11.74,1.04,98.85,99.99,0.0,76.75,18
2018-01-02,2018,1,1,Tuesday,65700,2,15.23,0.14,93.98,100.0,0.0,41.9,18
2018-01-02,2018,1,1,Tuesday,66600,2,19.94,0.0,88.24,100.0,0.0,37.4,18
2018-01-02,2018,1,1,Tuesday,67500,2,8.82,0.5,97.68,99.99,0.0,40.25,18
2018-01-02,2018,1,1,Tuesday,68400,2,1.98,1.58,99.84,99.9,0.0,34.92,19
2018-01-02,2018,1,1,Tuesday,69300,2,6.44,0.43,98.81,99.99,0.0,41.36,19
2018-01-02,2018,1,1,Tuesday,70200,2,2.52,1.37,99.76,99.93,0.0,35.96,19
2018-01-02,2018,1,1,Tuesday,71100,2,5.29,0.47,99.11,99.99,0.0,39.42,19
2018-01-02,2018,1,1,Tuesday,72000,2,4.68,0.5,99.26,99.99,0.0,38.16,20
2018-01-02,2018,1,1,Tuesday,72900,1,1.51,3.96,99.9,99.3,0.0,33.23,20
2018-01-02,2018,1,1,Tuesday,73800,1,0.0,12.13,100.0,90.55,0.0,25.88,20
2018-01-02,2018,1,1,Tuesday,74700,1,0.0,23.22,100.0,42.3,0.0,10.84,20
2018-01-02,2018,1,1,Tuesday,75600,1,0.0,23.51,100.0,36.75,0.0,9.29,21
2018-01-02,2018,1,1,Tuesday,76500,1,0.0,25.16,100.0,26.73,0.0,6.98,21
2018-01-02,2018,1,1,Tuesday,77400,1,0.0,26.5,100.0,18.93,0.0,5.11,21
2018-01-02,2018,1,1,Tuesday,78300,1,0.0,26.42,100.0,18.88,0.0,5.08,21
2018-01-02,2018,1,1,Tuesday,79200,1,0.0,26.46,100.0,18.71,0.0,5.04,22
2018-01-02,2018,1,1,Tuesday,80100,2,1.84,15.44,93.69,30.42,0.0,4.93,22
2018-01-02,2018,1,1,Tuesday,81000,2,5.22,0.0,66.44,100.0,0.0,4.64,22
2018-01-02,2018,1,1,Tuesday,81900,2,5.18,0.0,67.04,100.0,0.0,4.68,22
2018-01-02,2018,1,1,Tuesday,82800,2,5.11,0.0,67.54,100.0,0.0,4.68,23
2018-01-02,2018,1,1,Tuesday,83700,0,4.54,0.0,70.94,100.0,0.0,4.57,23
2018-01-02,2018,1,1,Tuesday,84600,0,4.25,0.0,73.23,100.0,0.0,4.57,23
2018-01-02,2018,1,1,Tuesday,85500,0,4.25,0.0,73.0,100.0,0.0,4.54,23
2018-01-02,2018,1,1,Tuesday,0,0,4.21,0.0,73.84,100.0,0.0,4.61,0
2018-01-03,2018,1,1,Wednesday,900,0,4.61,0.0,70.71,100.0,0.0,4.61,0
2018-01-03,2018,1,1,Wednesday,1800,0,4.54,0.0,71.25,100.0,0.0,4.61,0
2018-01-03,2018,1,1,Wednesday,2700,0,4.5,0.0,71.25,100.0,0.0,4.57,0
2018-01-03,2018,1,1,Wednesday,3600,0,4.61,0.0,70.4,100.0,0.0,4.57,1
2018-01-03,2018,1,1,Wednesday,4500,0,4.46,0.0,72.1,100.0,0.0,4.64,1
2018-01-03,2018,1,1,Wednesday,5400,0,4.57,0.0,71.25,100.0,0.0,4.64,1
2018-01-03,2018,1,1,Wednesday,6300,0,4.79,0.0,69.34,100.0,0.0,4.61,1
2018-01-03,2018,1,1,Wednesday,7200,0,4.5,0.0,71.25,100.0,0.0,4.57,2
2018-01-03,2018,1,1,Wednesday,8100,0,4.39,0.0,72.42,100.0,0.0,4.61,2
2018-01-03,2018,1,1,Wednesday,9000,0,4.75,0.0,69.88,100.0,0.0,4.64,2
2018-01-03,2018,1,1,Wednesday,9900,0,4.75,0.0,69.88,100.0,0.0,4.64,2
2018-01-03,2018,1,1,Wednesday,10800,0,4.75,0.0,69.33,100.0,0.0,4.57,3
2018-01-03,2018,1,1,Wednesday,11700,0,5.11,0.0,67.22,100.0,0.0,4.64,3
2018-01-03,2018,1,1,Wednesday,12600,0,4.72,0.0,70.1,100.0,0.0,4.64,3
2018-01-03,2018,1,1,Wednesday,13500,0,4.68,0.0,70.71,100.0,0.0,4.68,3
2018-01-03,2018,1,1,Wednesday,14400,0,4.46,0.0,71.57,100.0,0.0,4.57,4
2018-01-03,2018,1,1,Wednesday,15300,0,4.32,0.0,72.44,100.0,0.0,4.54,4
2018-01-03,2018,1,1,Wednesday,16200,0,4.46,0.0,71.87,100.0,0.0,4.61,4
2018-01-03,2018,1,1,Wednesday,17100,0,4.32,0.0,72.67,100.0,0.0,4.57,4
2018-01-03,2018,1,1,Wednesday,18000,0,4.32,0.0,72.97,100.0,0.0,4.61,5
2018-01-03,2018,1,1,Wednesday,18900,0,4.14,0.0,73.89,100.0,0.0,4.54,5
2018-01-03,2018,1,1,Wednesday,19800,0,4.21,0.0,73.55,100.0,0.0,4.57,5
2018-01-03,2018,1,1,Wednesday,20700,0,4.43,0.0,71.8,100.0,0.0,4.57,5
2018-01-03,2018,1,1,Wednesday,21600,0,4.5,0.0,71.25,100.0,0.0,4.57,6
2018-01-03,2018,1,1,Wednesday,22500,0,4.61,0.0,70.94,100.0,0.0,4.64,6
2018-01-03,2018,1,1,Wednesday,23400,0,4.36,0.0,72.35,100.0,0.0,4.57,6
2018-01-03,2018,1,1,Wednesday,24300,0,4.54,0.0,71.25,100.0,0.0,4.61,6
2018-01-03,2018,1,1,Wednesday,25200,0,4.28,0.0,72.76,100.0,0.0,4.54,7
2018-01-03,2018,1,1,Wednesday,26100,0,4.18,0.0,72.96,100.0,0.0,4.46,7
2018-01-03,2018,1,1,Wednesday,27000,0,4.25,0.0,82.14,100.0,0.0,6.12,7
2018-01-03,2018,1,1,Wednesday,27900,0,4.68,0.0,86.09,100.0,0.0,7.92,7
2018-01-03,2018,1,1,Wednesday,28800,0,4.36,0.0,91.02,100.0,0.0,9.58,8
2018-01-03,2018,1,1,Wednesday,29700,0,21.56,0.0,86.41,100.0,0.02,37.01,8
2018-01-03,2018,1,1,Wednesday,30600,0,35.86,0.0,90.13,100.0,0.03,74.59,8
2018-01-03,2018,1,1,Wednesday,31500,0,53.32,0.0,89.9,100.0,0.05,109.48,8
2018-01-03,2018,1,1,Wednesday,32400,0,31.82,0.0,95.71,100.0,0.05,105.08,9
2018-01-03,2018,1,1,Wednesday,33300,1,41.26,0.0,94.71,100.0,0.06,121.79,9
2018-01-03,2018,1,1,Wednesday,34200,1,30.24,0.0,96.68,100.0,0.05,114.48,9
2018-01-03,2018,1,1,Wednesday,35100,1,21.96,0.0,95.89,100.0,0.03,74.2,9
2018-01-03,2018,1,1,Wednesday,36000,1,7.13,0.04,99.15,100.0,0.02,54.32,10
2018-01-03,2018,1,1,Wednesday,36900,2,25.06,0.0,94.87,100.0,0.03,75.17,10
2018-01-03,2018,1,1,Wednesday,37800,2,12.24,0.0,97.85,100.0,0.03,58.07,10
2018-01-03,2018,1,1,Wednesday,38700,2,15.08,0.0,97.56,100.0,0.03,67.03,10
2018-01-03,2018,1,1,Wednesday,39600,2,31.64,0.04,92.06,100.0,0.03,74.59,11
2018-01-03,2018,1,1,Wednesday,40500,2,23.9,0.0,92.36,100.0,0.03,57.56,11
2018-01-03,2018,1,1,Wednesday,41400,2,48.06,0.0,85.32,100.0,0.04,78.62,11
2018-01-03,2018,1,1,Wednesday,42300,2,44.17,0.0,84.28,100.0,0.03,69.16,11
2018-01-03,2018,1,1,Wednesday,43200,2,44.78,0.0,85.57,100.0,0.03,74.05,12
2018-01-03,2018,1,1,Wednesday,44100,1,0.5,20.45,99.9,48.27,0.01,11.27,12
2018-01-03,2018,1,1,Wednesday,45000,1,0.0,26.21,100.0,29.89,0.0,8.21,12
2018-01-03,2018,1,1,Wednesday,45900,1,0.0,25.56,100.0,30.34,0.0,8.14,12
2018-01-03,2018,1,1,Wednesday,46800,1,0.0,25.74,100.0,28.66,0.0,7.7,13
2018-01-03,2018,1,1,Wednesday,47700,1,21.38,6.08,92.29,99.3,0.02,51.26,13
2018-01-03,2018,1,1,Wednesday,48600,1,13.64,0.0,96.81,100.0,0.02,52.7,13
2018-01-03,2018,1,1,Wednesday,49500,1,17.24,0.0,95.55,100.0,0.03,55.84,13
2018-01-03,2018,1,1,Wednesday,50400,1,17.32,0.0,95.71,100.0,0.03,57.2,14
2018-01-03,2018,1,1,Wednesday,51300,1,30.6,0.0,92.86,100.0,0.04,76.57,14
2018-01-03,2018,1,1,Wednesday,52200,1,20.45,0.0,94.83,100.0,0.03,61.13,14
2018-01-03,2018,1,1,Wednesday,53100,1,26.42,0.0,92.98,100.0,0.03,66.74,14
2018-01-03,2018,1,1,Wednesday,54000,1,16.42,0.0,95.93,100.0,0.03,55.8,15
2018-01-03,2018,1,1,Wednesday,54900,1,18.25,0.0,95.31,100.0,0.03,57.46,15
2018-01-03,2018,1,1,Wednesday,55800,1,28.08,0.0,93.04,100.0,0.03,71.28,15
2018-01-03,2018,1,1,Wednesday,56700,1,28.62,0.0,93.13,100.0,0.03,73.15,15
2018-01-03,2018,1,1,Wednesday,57600,1,25.81,0.0,93.66,100.0,0.03,68.98,16
2018-01-03,2018,1,1,Wednesday,58500,1,27.79,0.0,95.05,100.0,0.04,85.0,16
2018-01-03,2018,1,1,Wednesday,59400,1,41.9,0.0,94.1,100.0,0.05,116.53,16
2018-01-03,2018,1,1,Wednesday,60300,1,39.06,0.0,94.98,100.0,0.05,118.62,16
2018-01-03,2018,1,1,Wednesday,61200,1,35.64,0.0,94.7,100.0,0.05,105.05,17
2018-01-03,2018,1,1,Wednesday,62100,2,52.96,0.0,93.57,100.0,0.06,140.51,17
2018-01-03,2018,1,1,Wednesday,63000,2,41.15,0.0,94.06,100.0,0.05,114.01,17
2018-01-03,2018,1,1,Wednesday,63900,2,39.2,0.0,95.48,100.0,0.06,125.96,17
2018-01-03,2018,1,1,Wednesday,64800,2,13.25,1.69,98.42,99.97,0.03,73.62,18
2018-01-03,2018,1,1,Wednesday,65700,2,12.74,0.54,94.33,99.99,0.02,36.22,18
2018-01-03,2018,1,1,Wednesday,66600,2,18.43,0.0,90.75,100.0,0.02,39.82,18
2018-01-03,2018,1,1,Wednesday,67500,2,4.18,1.94,99.37,99.86,0.02,37.08,18
2018-01-03,2018,1,1,Wednesday,68400,2,5.47,0.18,99.2,100.0,0.02,42.98,19
2018-01-03,2018,1,1,Wednesday,69300,2,0.86,1.58,99.97,99.91,0.02,37.94,19
2018-01-03,2018,1,1,Wednesday,70200,2,3.74,0.79,99.56,99.98,0.02,39.71,19
2018-01-03,2018,1,1,Wednesday,71100,2,5.69,0.18,99.14,100.0,0.02,43.2,19
2018-01-03,2018,1,1,Wednesday,72000,2,1.19,1.66,99.95,99.9,0.02,37.33,20
2018-01-03,2018,1,1,Wednesday,72900,1,5.62,0.54,99.07,99.99,0.02,41.0,20
